No	Investor	Tokens	TokenSubtotal
266	0x0b7920d5c82c65ee2aeba20d7c1458b0dffe2c7f	10000	19147354.922126652948171
267	0xdc9b077032c9ecf708a4f47123dabb2cc18bcaa2	2000	19149354.922126652948171
268	0xefbb4e982b088d52d5505b5f8e337af07f9be343	1000	19150354.922126652948171
269	0x6a6ff77522dd23cea205b052241f99fc1ddca1da	12000	19162354.922126652948171
270	0xf72ff03749e373840f23676eccdb0d6ad4ad3b5a	12000	19174354.922126652948171
271	0xaa24bbdc707bdc9af799f2a0df8c7899867fe786	7000	19181354.922126652948171
272	0x583602f1d69d2a1b40ad5695712b6313a2922d4c	5000	19186354.922126652948171
273	0xa82846304ff0364c2f2d3e411e411f3111e78165	120000	19306354.922126652948171
274	0xf7d02acd4bfeb8fbc786379f5fcd75913f90fda9	500	19306854.922126652948171
275	0xe3ff98f12d80aa7474997510a32c1bbf76f8b7fb	5000	19311854.922126652948171
276	0x85591bfabb18be044fa98d72f7093469c588483c	4000	19315854.922126652948171
277	0x4f0068890d1e90a579a763b777fdb1f43f5c7468	1000	19316854.922126652948171
278	0x0099e3ea4f7aa9505be2c1c94149116b9856208b	5203.06029558303	19322057.982422235978171
279	0xb7820c37763f70a2f610c5eaa7900a099517517d	500	19322557.982422235978171
280	0x10db0c978668616249dba305c85166b4f081319e	24000	19346557.982422235978171
281	0xfe491d9613f20b8a7f682bbb2994b9bd7e762c21	2000	19348557.982422235978171
282	0x30e232e253948a68ff43a642660e4c9af6f1bb40	3000	19351557.982422235978171
283	0x416eda5d6ed29cac3e6d97c102d61bc578c5db87	521000	19872557.982422235978171
284	0xc405ec6440b74fca7c6fbae9f465bdd92e9cca1e	2000	19874557.982422235978171
285	0xfc7d5e499f869d8ee0b17c61b0f6f83bbac2fbc2	9200	19883757.982422235978171
286	0x7a7f59b7299102f921aa2497cc3c0ccaa9fb6311	1000	19884757.982422235978171
287	0xd6c1590b5be28453ae7f04247600f2ae697bc58a	10000	19894757.982422235978171
288	0x461d550a78ba5104897a6e1064384fdd2a7f526b	20000	19914757.982422235978171
289	0x5ffc4e8133755b50daaced2b67b2b302af0f64c5	500	19915257.982422235978171
290	0xf74863bae1b836dcaab3687315bff920d0857e09	27473.5	19942731.482422235978171
291	0xf549bd764857fbc32993c9a2e6b86709c0edbc08	500	19943231.482422235978171
292	0x1a193c4f3726a0ca2854e1972c6d4e8ab0ff80e6	7000	19950231.482422235978171
293	0x8bc29bc0941680d4deb525a6abf1e9269fbc98ca	10000	19960231.482422235978171
294	0x69cf02eafc49b895e1e0aae07f8b27eb6c1adf09	6000	19966231.482422235978171
295	0x990d53372e214f8356910f5cde50e53b49414091	6400	19972631.482422235978171
296	0xcae1a6b01f64bd8e4ee9149b35589d1d455f679c	36000	20008631.482422235978171
297	0x0a46ca05e4ab870306cc553f384deb1388a36403	1000	20009631.482422235978171
298	0x7544b7da3bd457908108ab38e2a0dd65de3a6b09	5000	20014631.482422235978171
299	0x4dc4bf5e7589c47b28378d7503cf96488061dbbd	12000	20026631.482422235978171
300	0x2543d40f41327142c2ea50cc8c6741736ae37572	36000	20062631.482422235978171
301	0xc18a98ddf6188da4a260afd15f805f4f465aeed8	48000	20110631.482422235978171
302	0x57593c260ef8c20a71aeb52fc2d62f3f485c3a32	36000	20146631.482422235978171
303	0x0b769f84492fb8ac2b27e23ad2989670f5bfb4fa	4000	20150631.482422235978171
304	0x22cfc05d5b4bc326452b0c73f9b3c829f4d9e2ef	5700	20156331.482422235978171
305	0x5fce06187fd3dab0737469e21078a9f72b633834	60000	20216331.482422235978171
306	0xcfc643693aca9df6abfaaf62fe384c3c8a470ee4	1290	20217621.482422235978171
307	0xad8ab505b8e543e810d1945681e69524b3bf1f77	72000	20289621.482422235978171
308	0x14a89caca1b3a7428ace9887034f0e486f88b644	8000	20297621.482422235978171
309	0x37493504ee4091edaee99ba5d7628c97a9bd5896	6000	20303621.482422235978171
310	0x041dedfec783d8d6d8bd4f81cb3675042151184d	100000	20403621.482422235978171
311	0x6d0ded4ac36cb5fe0586b06fa4bc9fd96182519b	10000	20413621.482422235978171
